t_s,x_m,y_m,vx_mps,vy_mps,r_m,E_spec
0.0,6771000.0,0.0,0.0,7670.0,6771000.0,0.0
1.0,6770995.657412336,7670.0,-8.685172538940282,7669.995080837785,6771000.001594795,-29392872.140008863
2.0,6770982.629654922,15339.99016167557,-17.370333925118423,7669.980323357472,6771000.006379179,-29392872.140008844
3.0,6770960.9167444855,23009.960646714942,-26.055473005786695,7669.955727578052,6771000.014353144,-29392872.140008833
4.0,6770930.51870891,30679.901616831674,-34.7405786282262,7669.921293531178,6771000.025516683,-29392872.140008792
5.0,6770891.435587229,38349.803233777304,-43.4256396397613,7669.877021261165,6771000.03986978,-29392872.140008755
6.0,6770843.667429631,46019.65565935401,-52.110644887774,7669.82291082499,6771000.057412416,-29392872.140008695
7.0,6770787.214297454,53689.44905542728,-60.7955832197184,7669.758962292288,6771000.078144568,-29392872.140008647
8.0,6770722.076263192,61359.17358393858,-69.48044348313509,7669.685175745358,6771000.102066212,-29392872.14000857
9.0,6770648.253410488,69028.81940691799,-78.16521452566558,7669.601551279159,6771000.129177314,-29392872.1400085
10.0,6770565.745834141,76698.3766864969,-86.84988519506669,7669.5080890013105,6771000.159477842,-29392872.140008416
11.0,6770474.553640098,84367.8355849206,-95.53444433922499,7669.4047890320935,6771000.192967755,-29392872.14000832
12.0,6770374.676945462,92037.18626456107,-104.21888080617121,7669.291651504449,6771000.229647011,-29392872.140008215
13.0,6770266.115878485,99706.4188879295,-112.90318344409465,7669.168676563978,6771000.269515561,-29392872.140008114
14.0,6770148.870578573,107375.52361768902,-121.58734110135758,7669.0358643689415,6771000.3125733575,-29392872.140007988
15.0,6770022.941196282,115044.49061666738,-130.2713426265097,7668.893215090261,6771000.358820342,-29392872.14000787
16.0,6769888.32789332,122713.31004786954,-138.9551768683025,7668.740728911519,6771000.408256457,-29392872.140007727
17.0,6769745.0308425445,130381.97207449042,-147.6388326757037,7668.578406028955,6771000.460881637,-29392872.14000759
18.0,6769593.050227968,138050.46685992746,-156.32229889791168,7668.40624665147,6771000.516695819,-29392872.140007418
19.0,6769432.386244749,145718.78456779334,-165.00556438436988,7668.224251000621,6771000.575698926,-29392872.14000726
20.0,6769263.039099199,153386.91536192867,-173.68861798478116,7668.032419310626,6771000.637890886,-29392872.140007086
21.0,6769085.009008779,161054.84940641458,-182.3714485491223,7667.830751828363,6771000.703271615,-29392872.140006904
22.0,6768898.2962021,168722.57686558538,-191.0540449276584,7667.619248813364,6771000.771841032,-29392872.140006717
23.0,6768702.900918923,176390.08790404128,-199.7363959709572,7667.397910537821,6771000.84359905,-29392872.14000651
24.0,6768498.823410158,184057.372686661,-208.41849052990364,7667.166737286583,6771000.918545575,-29392872.140006308
25.0,6768286.063937863,191724.42137861444,-217.1003174557141,7666.925729357156,6771000.996680509,-29392872.1400061
26.0,6768064.622775246,199391.2241453753,-225.78186559995098,7666.674887059704,6771001.078003756,-29392872.14000587
27.0,6767834.500206663,207057.77115273383,-234.46312381453694,7666.414210717044,6771001.162515209,-29392872.140005633
28.0,6767595.696527618,214724.05256680938,-243.14408095176947,7666.143700664651,6771001.25021476,-29392872.140005384
29.0,6767348.212044761,222390.05855406314,-251.82472586433522,7665.863357250655,6771001.3411022965,-29392872.140005123
30.0,6767092.047075889,230055.7792813107,-260.5050474053244,7665.573180835841,6771001.435177701,-29392872.14000486
31.0,6766827.201949949,237721.20491573482,-269.18503442824516,7665.2731717936485,6771001.532440852,-29392872.14000459
32.0,6766553.677007033,245386.325624898,-277.86467578703815,7664.96333051017,6771001.632891627,-29392872.140004314
33.0,6766271.472598375,253051.13157675514,-286.5439603360908,7664.643657384152,6771001.736529895,-29392872.14000403
34.0,6765980.58908636,260715.6129396663,-295.2228769302516,7664.314152826994,6771001.843355525,-29392872.14000372
35.0,6765681.0268445145,268379.7598824091,-303.9014144248448,7663.974817262749,6771001.953368378,-29392872.140003417
36.0,6765372.78625751,276043.5625741918,-312.5795616756847,7663.625651128118,6771002.066568312,-29392872.140003104
37.0,6765055.867721163,283707.0111846654,-321.2573075390899,7663.266654872457,6771002.182955184,-29392872.140002783
38.0,6764730.271642432,291370.0958839367,-329.93464087189784,7662.897828957773,6771002.302528843,-29392872.140002456
