t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
0.0,6771000.0,0.0,0.0,0.0,4764.20347473464,6010.928817689191,6771000.0,0.0
1.0,6770995.657412336,4764.20347473464,6010.928817689191,-8.685172538940282,4764.200419207949,6010.9249625739485,6771000.001594795,-29392872.14000886
2.0,6770982.629654922,9528.400838415897,12021.849925147897,-17.370333925118423,4764.19125263181,6010.91339723318,6771000.006379179,-29392872.14000885
3.0,6770960.9167444855,14292.585979998259,18032.755612155554,-26.055473005786695,4764.175975018019,6010.89412168177,6771000.014353144,-29392872.140008837
4.0,6770930.51870891,19056.752788451937,24043.63816851144,-34.7405786282262,4764.1545863862375,6010.867135944526,6771000.025516683,-29392872.1400088
5.0,6770891.435587229,23820.895152770736,30054.489884044604,-43.4256396397613,4764.127086763991,6010.832440056176,6771000.03986978,-29392872.140008755
6.0,6770843.667429631,28585.006961979918,36065.30304862379,-52.110644887774,4764.093476186671,6010.790034061372,6771000.057412416,-29392872.140008695
7.0,6770787.214297454,33349.08210514408,42076.069952167345,-60.7955832197184,4764.053754697531,6010.739918014689,6771000.078144568,-29392872.14000865
8.0,6770722.076263192,38113.11447137499,48086.78288465316,-69.48044348313509,4764.007922347691,6010.682091980621,6771000.102066212,-29392872.140008565
9.0,6770648.253410488,42877.097949839466,54097.434136128584,-78.16521452566558,4763.955979196135,6010.616556033589,6771000.129177314,-29392872.140008494
10.0,6770565.745834141,47641.02642976726,60108.015996720336,-86.84988519506669,4763.8979253097095,6010.543310257933,6771000.159477842,-29392872.140008412
11.0,6770474.553640098,52404.89380045889,66118.52075664444,-95.53444433922499,4763.833760763127,6010.462354747915,6771000.192967755,-29392872.140008323
12.0,6770374.676945462,57168.69395129352,72128.94070621616,-104.21888080617121,4763.763485638965,6010.373689607722,6771000.22964701,-29392872.140008226
13.0,6770266.115878485,61932.42077173682,78139.26813585988,-112.90318344409465,4763.6871000276615,6010.277314951459,6771000.269515561,-29392872.140008118
14.0,6770148.870578573,66696.06815134884,84149.49533611907,-121.58734110135758,4763.6046040275205,6010.173230903156,6771000.3125733575,-29392872.140007995
15.0,6770022.941196282,71459.62997979186,90159.61459766618,-130.2713426265097,4763.51599774471,6010.0614375967625,6771000.358820342,-29392872.140007865
16.0,6769888.32789332,76223.10014683826,96169.61821131258,-138.9551768683025,4763.421281293261,6009.94193517615,6771000.408256456,-29392872.140007734
17.0,6769745.0308425445,80986.47254237838,102179.49846801847,-147.6388326757037,4763.320454795068,6009.81472379511,6771000.460881638,-29392872.140007585
18.0,6769593.050227968,85749.74105642841,108189.2476589028,-156.32229889791168,4763.213518379888,6009.679803617357,6771000.516695819,-29392872.14000743
19.0,6769432.386244749,90512.89957913816,114198.85807525319,-165.00556438436988,4763.100472185343,6009.537174816524,6771000.575698927,-29392872.140007265
20.0,6769263.039099199,95275.94200079908,120208.32200853585,-173.68861798478116,4762.981316356916,6009.386837576169,6771000.637890886,-29392872.140007094
21.0,6769085.009008779,100038.862211852,126217.63175040552,-182.3714485491223,4762.856051047954,6009.228792089763,6771000.703271615,-29392872.140006907
22.0,6768898.2962021,104801.654102895,132226.77959271535,-191.0540449276584,4762.724676419665,6009.063038560704,6771000.771841032,-29392872.14000672
23.0,6768702.900918923,109564.31156469134,138235.75782752692,-199.7363959709572,4762.587192641121,6008.889577202305,6771000.84359905,-29392872.14000652
24.0,6768498.823410158,114326.82848817724,144244.55874711997,-208.41849052990364,4762.443599889255,6008.708408237801,6771000.918545574,-29392872.14000632
